learning_rate;max_steps;batch_size;dnn_hidden_units;optimizer;step;train_acc;train_loss;test_acc;test_loss
0.0002;3000;400;[400, 400, 400];Adam;1;0.08249999582767487;4.543734550476074;0.15160000324249268;3.5554757118225098
0.0002;3000;400;[400, 400, 400];Adam;101;0.4424999952316284;1.6999702453613281;0.4316999912261963;1.651349663734436
0.0002;3000;400;[400, 400, 400];Adam;201;0.4699999988079071;1.5056265592575073;0.459199994802475;1.562284231185913
0.0002;3000;400;[400, 400, 400];Adam;301;0.5;1.3840782642364502;0.4763999879360199;1.498956322669983
0.0002;3000;400;[400, 400, 400];Adam;401;0.5649999976158142;1.2079615592956543;0.48729997873306274;1.4886060953140259
0.0002;3000;400;[400, 400, 400];Adam;501;0.6599999666213989;1.0425974130630493;0.49629998207092285;1.468388319015503
0.0002;3000;400;[400, 400, 400];Adam;601;0.6024999618530273;1.1733689308166504;0.4941999912261963;1.5164610147476196
0.0002;3000;400;[400, 400, 400];Adam;701;0.6150000095367432;0.995810866355896;0.498199999332428;1.5108716487884521
0.0002;3000;400;[400, 400, 400];Adam;801;0.637499988079071;1.0260311365127563;0.5054000020027161;1.5205870866775513
0.0002;3000;400;[400, 400, 400];Adam;901;0.7324999570846558;0.8268895149230957;0.5198000073432922;1.539257287979126
0.0002;3000;400;[400, 400, 400];Adam;1001;0.7749999761581421;0.6966342329978943;0.5112999677658081;1.5792303085327148
0.0002;3000;400;[400, 400, 400];Adam;1101;0.762499988079071;0.666645884513855;0.5058000087738037;1.6012381315231323
0.0002;3000;400;[400, 400, 400];Adam;1201;0.7649999856948853;0.6895982623100281;0.5033999681472778;1.6725562810897827
0.0002;3000;400;[400, 400, 400];Adam;1301;0.8025000095367432;0.5913749933242798;0.5081999897956848;1.7145659923553467
0.0002;3000;400;[400, 400, 400];Adam;1401;0.8125;0.5329326391220093;0.5095999836921692;1.763733148574829
0.0002;3000;400;[400, 400, 400];Adam;1501;0.8549999594688416;0.47961005568504333;0.5098000168800354;1.8377156257629395
0.0002;3000;400;[400, 400, 400];Adam;1601;0.8499999642372131;0.4675194025039673;0.5134999752044678;1.849793553352356
0.0002;3000;400;[400, 400, 400];Adam;1701;0.8899999856948853;0.32951655983924866;0.51419997215271;1.930505633354187
0.0002;3000;400;[400, 400, 400];Adam;1801;0.8949999809265137;0.34847161173820496;0.5169999599456787;1.9994562864303589
0.0002;3000;400;[400, 400, 400];Adam;1901;0.9024999737739563;0.2565043568611145;0.5148000121116638;2.0753769874572754
0.0002;3000;400;[400, 400, 400];Adam;2001;0.9350000023841858;0.24923840165138245;0.5127999782562256;2.177414894104004
0.0002;3000;400;[400, 400, 400];Adam;2101;0.9049999713897705;0.27661484479904175;0.5112999677658081;2.2355411052703857
0.0002;3000;400;[400, 400, 400];Adam;2201;0.9074999690055847;0.2638554275035858;0.5184000134468079;2.3131701946258545
0.0002;3000;400;[400, 400, 400];Adam;2301;0.9549999833106995;0.1726524978876114;0.5135999917984009;2.3733370304107666
