T;Accuracy;Loss
5;1.0;8.900649845600128e-06
6;1.0;3.0547380447387695e-07
7;1.0;1.043081283569336e-06
8;1.0;4.470348358154297e-07
9;0.1171875;2.3022398948669434
10;0.09375;2.3023931980133057
11;0.078125;2.303093671798706
12;0.0859375;2.304443359375
13;0.1015625;2.3021435737609863
14;0.078125;2.3042774200439453
15;0.0703125;2.304140090942383
16;0.078125;2.302945852279663
17;0.0859375;2.3033759593963623
18;0.109375;2.30289626121521
19;1.0;3.501772880554199e-05
20;0.0546875;2.3028628826141357
