T;Accuracy;Loss
5;1.0;2.2798776626586914e-06
6;1.0;0.00016942620277404785
7;1.0;1.1146068572998047e-05
8;1.0;8.73953104019165e-05
9;1.0;0.000715792179107666
10;0.6015625;0.833081841468811
11;0.421875;1.237052083015442
12;1.0;0.0019971653819084167
13;0.640625;0.9810135960578918
14;0.328125;1.6778870820999146
15;0.671875;0.5059510469436646
16;0.671875;0.531804084777832
17;0.1015625;2.2934422492980957
18;0.46875;0.9658728241920471
19;0.2890625;1.6533023118972778
20;0.0703125;2.31607723236084
