step;t;temperature;sequence
0;20;0.0;%fffffffffffffffffff
0;20;0.5;"4gP7;9*$F8S@dS*s%BWk"
0;20;1.0;"Z,B6Syghx;xJc'q4WH#["
0;20;2.0;"h7('zPp1$9x#V-;ze$mJ"
0;30;0.0;Nfffffffffffffffffffffffffffff
0;30;0.5;"1jSE81Yr;RqU9.W,kDkVlKtrI[b(,z"
0;30;1.0;"1Vu.;zl2 xyoZr2Y(]#886[me-e!#m"
0;30;2.0;"Wfb1F.D!jm@pQ﻿e#$zþ1;@z:n-E0vY"
0;60;0.0;4kffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
0;60;0.5;uhPX)lVuPi6?VoeU.N2JOPYj-k8#8y2::!$p#taj.Wþ#Ac]Q4vyq@U0We﻿cq
0;60;1.0;"e:on4KM!DuB0-wdtz*b9@﻿4JokZ1:sm:""C-6 tTl5NnV7?qqbxQ﻿TzBs#)nI"
0;60;2.0;"Jws4-Q6A4tQ9*gyo18LSHifo]AjrvTje'rw9'3bKt/j9W6Ru7ToEl/2w1;sd"
0;120;0.0;yfffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
0;120;0.5;"gak'""K6p@G1zUWGc.m/@7-$ns8i2IgG9/bxlP;?1ASVisI$tz""E3ln]Q3gDS#O#""k-q1,tZU7qSD2L.dH2r5!ur]f8*7K!1@6L7Z?x2#VhkntM'F1K4laNxK"
0;120;1.0;"W;gyZ1K#nE[Q;MYxY-DGU1L;1@8""lD?YBusn1mj#MW[""þ,H0n!""m];d*I@rwl;osZe@TX:1T@HemTFk#MrkjUVþbb8gz-%qm04[x't:""7lI((!8(s/G2fþCG"
0;120;2.0;"qPfY(Tn1cn G-ZY#wbHS$""%,TBxO "":3Ov:;Kzy""P.F57Zjþ""1lh]Hþt' -O8Zfþy""![euUgZ;R:(il:XB?cKgDlddG,g8UzX]]4q(0b!3!ul96Lwnþ,pil-"
200;20;0.0;in the the the the t
200;20;0.5;Xrhe tir the an lhe 
200;20;1.0;*e bansanena, ufn wi
200;20;2.0;"k;g lipBaub.Sry ZhJe"
200;30;0.0;(111::n the the the the the th
200;30;0.5;Xkeen beso wa ad te me sin the
200;30;1.0;)o 1299:a  wh un te kavim fiot
200;30;2.0;"h' agafcame,.elOoaunfein;se6fp"
200;60;0.0;Ce the the the the the the the the the the the the the the t
200;60;0.5;d taten wose she tan un he phe whe an oþa :an se be boet she
200;60;1.0;grocodnh, or hendw te she te, yk tob tne gas,g,ere,l  lseege
200;60;2.0;"[a,edt t nhagorf'sg;;d,.afdahlabes .Ktalo,.þLe.was t.Lkoeobw"
200;120;0.0;9n the the the the the the the the the the the the the the the the the the the the the the the the the the the the the t
200;120;0.5;heþwer ris tate tate sed toon de we þad ros the the sete tand þthe tarage tas tad she thand to an bhet ten she coran en 
200;120;1.0;k shath sfal, uf 8tond seeþþo8I þ:D.toþch hheerr mofemm ,se the seelouncad are  h.mop anr vames l:ger oiveim kaatdteaand
200;120;2.0;"'knNsy b hfjnsOom,m 3Thecyddr edny:Lmok!aowesnvoZtirht bnnl:l r:sngor pefponn :H;e g, Molo o#?Dsnur,igokde hahsid.pcve H"
400;20;0.0;8 And the the the th
400;20;0.5;And the of nhath und
400;20;1.0;rsiiucet shesþil she
400;20;2.0;MefArh palg BipDesiw
400;30;0.0;2:1:1 And the the the the the 
400;30;0.5;12 And the the the fore he the
400;30;1.0;H:þMo wor il themþhe?þfant wil
400;30;2.0;b.Id mecouCK, yiviyeþib),dOEOw
400;60;0.0;we the the the the the the the the the the the the the the t
400;60;0.5;andþthe the fins the wacher the daty the bans the sor sher t
400;60;1.0;Zeas it as he milts mrtan  siod yat the cheuh uvo ru Lrols: 
